Series_Name,Number_of_episodes,Number_of_seasons,Genre,Year_released,End_year,Avg_runtime,Rating,Number_of_raters,Number_of_reviews,Number_of_critics_review,Keywords,pos_neg,joy_sad
Anne with an E,27,3,Drama,2017,2019,60,8.7,33046,850,27,found family slow burn romance netflix original orphan enemies become lovers teenage romance unrequited love,Negative,Joy
Impractical Jokers,234,8,Comedy,2011,NA,30,8.6,32565,127,10,whale fish tv mini series ocean nature documentary nature sardine u boat walrus shark penguin island coral reef submarine marine biology el nino dolphin blue whale,Negative,Neutral
What We Do in the Shadows,21,3,Comedy,2019,NA,30,8.5,31986,299,33,mockumentary vampire spin off satire word play vampire exploitation orgy vampire orgy familiar human familiar baron staten island larping blood feast drinking blood animal control werewolf werewolf pack manhattan dance club citizenship pissing contest super bowl party city council city council meeting squirrels bats campy homagesploitation,Neutral,Neutral
Blue Planet II,8,1,Documentary,2017,2018,46,9.3,31482,41,9,hidden camera non fiction,Negative,Neutral
Line of Duty,35,6,Crime,2012,NA,60,8.7,31279,264,28,sequel numbered sequel nature nature documentary marine biology oceanography environmental ocean tv mini series,Neutral,Neutral
Young Justice,72,3,Animation,2010,NA,23,8.6,30849,101,22,police police corruption female police detective internal affairs three word title,Negative,Neutral
The Bugs Bunny Show,78,3,Animation,1960,1975,30,8.6,30804,13,5,sexy alien dc universe warner bros. based on comic book superhero team superhero dc comics martian alien spacecraft humanoid alien teleportation weapons fire alien device alien technology alien weapon materialization dematerialization alien teenager alien superhero spaceship spacecraft alien spaceship outer space mask robot humanoid robot telekinesis robot superhero telepathy telepathic alien kryptonian hydrokinesis atlantean justice league clone extraterrestrial caped superhero flying flying man flying alien flying superhero human alien hybrid super strength alien armor human kryptonian hybrid green skin green skinned alien mount justice aquatic humanoid shapeshifter shapeshifting shapeshifting alien good versus evil legacy character dc nation archery sidekick two word series title android masked superhero teenage superhero,Neutral,Joy
Our Planet,8,1,Documentary,2019,NA,50,9.3,29612,196,12,rabbit compilation surrealism merrie melodies compilation famous opening theme 1960s 1970s warner bros. bugs bunny character animal character name as title tasmanian devil character smoky the genie character daffy duck character porky pig character elmer fudd character yosemite sam character sylvester the cat character tweety bird character wile e. coyote character speedy gonzales character foghorn leghorn character pepe le pew character road runner character,Negative,Sad
North & South,4,1,Drama,2004,NA,59,8.6,29313,112,8,tv mini series nature documentary zoology biology ecology netflix,Neutral,Neutral
QI,285,18,Comedy,2003,NA,30,8.6,29206,24,NA,based on novel ireland university star crossed lovers coming of age school two word series title tv mini series sex scene male nudity female nudity,Positive,Joy
Normal People,12,1,Drama,2020,NA,28,8.5,28106,485,27,strike industrial revolution 19th century union textile worker industrialization based on novel period drama prejudice marriage proposal cotton mill cardinal direction in title ampersand in title london england flashback tv mini series servant plato parish gentleman clergyman church factory factory accident world's fair train tea teacher student relationship smoking moving in mother son relationship loss of mother loss of father inheritance godfather fruit exile england cough correspondence brother sister relationship british navy 1850s,Negative,Sad
Gomorra: La serie,48,4,Crime,2014,NA,55,8.7,27900,162,24,panel show british humour knowledge british comedy team host question 2000s 2010s presenter trivia non fiction,Neutral,Joy
John Adams,7,1,Biography,2008,NA,71,8.5,27828,119,43,serial killer rape police dead body blood shot in the head gun killer killing alzheimer's disease flamenco cat investigation suicide corruption retirement home mother daughter relationship death anti hero journalist flashback police officer car dancing red hide color red secret fire bribery birthday insomnia tv mini series one word title father daughter relationship rain the color yellow,Negative,Neutral
Berserk,25,1,Animation,1997,1998,23,8.6,27622,92,15,treason shifting power dialect,Negative,Neutral
Persona,12,1,Crime,2018,NA,65,9.1,27526,113,21,president american president american history politics colonial america u.s. president american revolution george washington character benjamin franklin character 19th century pulitzer prize source character name as series title john adams character king george iii character thomas jefferson character abigail adams character john hancock character alexander hamilton character john quincy adams character paris france based on real person period drama future president trial lawyer courtroom boston massacre epic join or die flag appeal to heaven flag tv mini series philadelphia pennsylvania boston massachusetts female nudity transatlantic trip ship pennsylvania massachusetts law france father son relationship england continental congress cannon marriage first lady 18th century 1790s 1770s based on book,Positive,Sad
Skam,43,4,Drama,2015,2017,30,8.7,27029,51,5,dark fantasy anime mercenary sinister sword fighting cruelty nihilism demon based on manga laughter mysticism poisoned drink duel horse black comedy monster king fight swordsman force battle based on comic book high fantasy bloodshed tragedy swordplay spirits sexual abuse religion middle ages military rape horseback riding blood splatter surrealism stabbed in the stomach pride memory flashback falling trap supernatural power pedophilia pedophile muscleman fight to the death escape attempt dangerous mission attempted poisoning wings tree transformation torture torture chamber throat slitting tentacle suicide attempt stabbed in the head stabbed in the eye stabbed in the back stabbed in the arm sleeping slaughter sexual perversion severed arm self mutilation self injury scream running cape the garment rescue attempt rampage question perversion one eyed man no ending nightmare needle message massacre man eaten by a monster magic loss of friend loss of faith loss of dream long hair head blown off hallucination green hair forces of evil falling in love eye exploding head evil power escape eclipse dying dying words dream breaking down a door desperation demoness death of horse dead body darkness dark power curse corpse cemetery cart broken dream broken door visual impairment black magic bitterness biting arrogance arrest wood woods wine water waterfall warrior victory venom valley teenage girl teenage boy tall man sword wound sword and fantasy surprise suffering strength stairs stabbing stabbed to death stabbed in the chest spear snow sickness shot with an arrow shield servant saga sadness sadist sadism river rivalry revenge rescue rain rage queen punch princess precipice power poison party palace palace intrigue pain nudity nude bathing noble nipples murder murder plot murder attempt mountain moonlight minister male nudity maid loss of virginity lord lake lady knight knife kiss kingdom jumping joy impalement hostility helmet hatred hall goodbye glory friend friendship forest flag first time sex fire female warrior female nudity fear fate farewell falling into water falling from height expose evil queen evil man epic envy enemy dress doubt dismemberment desire defeat death dead man dead child dark past dark hero danger cut crying crowd crossbow coward courage corruption clothes ripping cave cavern castle cabin brutality broken sword blacksmith bisexuality betrayal bed bedroom beating bandage axe attempted rape attempted murder arrow arrow in chest armor aristocrat aristocracy applause anger ambition abyss vengeance sacrifice violence royalty existentialism destiny torso cut in half split in two split diagonally in two large sword gore decapitation blood amputation medieval times sword and sorcery talisman sword fight swordsmen sword death of friend death of child tragic hero macabre hero giant monster,Negative,Sad
Behzat ?.: Bir Ankara Polisiyesi,105,4,Crime,2010,2019,90,8.7,26308,25,1,teenager teenage protagonist gay relationship teenage boy title directed by female teen issues norway muslim high school girl high school boy friendship between teenagers friendship between boys muslim teenager gay teenager gay homosexual teenager friendship between girls boyfriend girlfriend relationship teenage drinking teenage girl high school scandinavia oslo norway written by director group of teenagers teenage sexuality one word title homosexual friendship androgyny f rated short hair short hair cut short haired female text messaging on screen triple f rated scandinavian culture teen angst teenage sex name calling friend redhead girl muslim girl high school teacher blonde bleach blonde androgynous female,Neutral,Joy
Frozen Planet,10,1,Documentary,2011,2012,33.3,9,26155,15,19,serial killer mystery killer child abuse dysfunctional family psychological thriller single mother suspense missing child mother son relationship time travel anime framed for murder serial abductor abuse birthday bruise childhood class classroom death disappearance friendship snow winter abused child abused girl anger bad mother battered child bitterness blood child murderer children classmate coma crying crying girl desperation fear flashback fox frame up girl head held underwater holding head underwater holding someone's head underwater memory mittens mysterious killer mysterious man mysterious villain sadness school school teacher serial child killer snowing stabbed with a knife teacher tears time traveller tragedy trapped in a car trapped underwater in a car waking up from a coma accident wheelchair winter night rooftop brutality child torture missing girl violence against a child tv mini series kidnapping murder butterfly effect red herring year 2006 year 1988 abusive mother,Negative,Joy
The Family Man,11,2,Action,2019,NA,45,8.6,25840,634,5,police murder ankara turkey policeman uniform policeman place name in title prostitute prosecutor,Negative,Sad
Erased,13,1,Animation,2016,NA,30,8.5,25790,94,8,freezing freeze antarctic arctic cold weather cold water ice northwest territories wildlife biology ecology lifeform zoology albatross cold the temperature icy aerial camera shot seal the animal researcher habitat consequence melting ice caps icecap melting expedition amundsen scott south pole station cosmic ray balloon astronomer cave geologist robot submarine biologist tourist antarctica aurora borealis rocket claim special forces egg walrus inuit russia tribe settlement fish weasel vole raven wolverine forest taiga snow wind petrel arctic fox guillemot beluga whale sea autumn whale krill bunting snowy owl sea duck arctic tern wader moth sea snail sea slug gooseberry narwhal polar region skua sea spider sea lion owl wolf landscape climate south pole river pack hunting duck active volcano global warming north pole arctic wolf sea ice ice shelf glacier climate change natural history nature documentary sea mammal muskox bison reindeer caribou greenland siberia canada alaska penguin polar bear tv mini series,Negative,Neutral
Das Boot,3,1,Drama,1985,1987,97.66666667,8.8,25728,23,7,prison istanbul turkey offscreen rape son violence beating husband wife relationship mother son relationship blood escape new identity death flashback police mentor dancing kiss train father daughter relationship family relationships car gun deception shot to death knife blindness surgery friendship kidnapping one word series title casino spy film gambler turkish mafia gangster mafia prisoner revenge,Negative,Sad
Ezel,71,2,Crime,2009,2011,1.267605634,8.6,25577,64,NA,german submarine submarine movie nazi u boat u boat world war two wet nazi soldier naval uniform submarine crew tv series version of movie 20th century soldier world war two soldier military war correspondent year 1941 battle of the atlantic enigma machine torpedo convoy sonar explosion ship sinking gibraltar sinking ship reference to the book of psalms based on a book reference to winston churchill reference to adolf hitler view through periscope german captain drowning storm crash dive navy officer german navy bombing underwater scene famous score tv mini series submarine based on novel cult tv,Negative,Sad
Kota Factory,5,1,Comedy,2019,NA,45,9.1,23872,291,1,web series the viral fever competition engineering tvf iit jee,Negative,Neutral
Human Planet,8,1,Documentary,2011,NA,50,9,23257,11,8,nazi soldier world war two berlin germany nazis invade ussr german jew group of friends wehrmacht german abroad nazi germany repetition in title nazi uniform german actor playing foreigner military officer eastern front singer holocaust brother brother relationship nurse antisemitism nylon leg tv mini series nazi officer anti war lieutenant disillusionment firearm military uniform swing music stockings hanging stockings red lips attempted rape guilt,Negative,Sad
The Venture Bros.,86,7,Animation,2003,2018,22,8.5,23193,58,31,nature peril primitive survival urban tv mini series,Negative,Sad
Mystery Science Theater 3000,199,11,Comedy,1988,2015,92,8.5,22794,229,92,failure venture brutality menace sexual humor sequel 2000s 2010s family character name in series title venture bros man wears eyeglasses campy camp black comedy dark comedy adult swim scientist threat dismemberment homicide depravity perversion cruelty sadism foolishness clumsiness danger evil weapon murder death blood late night gore violence family relationships hanna barbera adult animation father son relationship brother brother relationship teenage boy butterfly archenemy albino henchman superhero team science robot sidekick jet government agent advanced technology different gags during credits parody jonny quest spoof inventor title spoken by character supervillain supervillainess bodyguard villain,Negative,Sad
SCAM 1992: The Harshad Mehta Story,10,1,Biography,2020,NA,NA,9.6,21662,1005,4,village rural india the viral fever gram panchayat,Negative,Neutral
The World at War,26,1,Documentary,1973,1974,52,9.2,21542,90,4,cringe comedy near future horror host male horror host grindhouse filmmaking psychotronic filmmaking horror filmmaking psychotronic series future camp campy mad scientist wisecrack humor absurd humor madcap comedy irreverence gag humor chroma key good versus evil movie spoof film discussion poking fun at movie number in title,Positive,Sad
Panchayat,8,1,Comedy,2020,NA,35,8.7,21360,855,62,soccer football soccer coach football manager assistant coach soccer team soccer stadium soccer club soccer club owner football club owner soccer match soccer player soccer practice american abroad american in england american in london london england kit man fish out of water screwball comedy english premier league female boss professional athlete locker room sports reporter wag equipment manager profanity f word,Positive,Neutral
Dekalog,10,1,Drama,1989,1990,57.2,9,21342,NA,60,world war two 1940s 20th century history military uniform war effort stock footage industry military alliance 20th century tv mini series battle frontline allies armament warfare politics dead soldier armed forces mass killing destruction uniform combat photography jew nazi germany fascism nuclear explosion atrocity refugee prisoner of war air raid slave labor concentration camp cannon fodder malnutrition bomber radar scuttle tv series 1930s corpse warplane war propaganda military soldier world war two soldier resistance naval battle explosion torture heroism invasion trial tank starvation royal air force japan four word title river battle some scenes in black and white anti aircraft gun prostitute midway island battle of midway seaman aircraft carrier sicily sicily invasion parachute berlin germany warsaw poland oslo norway burma dive bomber china usa navy firestorm streetfighting russia oil field desert poland factory recruit danzig england stauffenberg bomb plot airlift monsoon manchuria assassination maginot line atomic weapons blitzkrieg lend lease suicide new guinea siege luftwaffe canada okinawa japan oradour rostov norway rocket field hospital white rose plot firearm reenactment narvik evacuation belgium lubeck fire cavalry battle of britain navy hedgehog battle of the river plate pearl harbor mental retardation russo finnish war dunkirk disease leaflet euthanasia lifeboat malaria mud funeral labor condition paratrooper conspiracy dam busting maggot soviet union doolittle raid,Negative,Sad
Lonesome Dove,4,1,Adventure,1989,NA,96,8.7,20101,213,16,ten commandments morality poland tv mini series auteur tv anthology search for meaning meaning of life moral challenge bonfire rooftop apartment apartment complex spirituality philosophy christianity christian belief in god reference to god belief soul religion,Negative,Joy
The Thick of It,24,4,Comedy,2005,2012,29,8.7,19995,37,8,anime demons historical fiction japan brother sister relationship death of family abuse adolescent anger anguish animal mask antidote apology aristocrat arm cut off arrogance asakusa tokyo atrocity axe ball bare chested male based on manga betrayal biting bitten on the shoulder black magic bleeding blindness blood blood magic blood on face blood splatter bloodbath bloodshed bloodthirsty box bruise bruised face brutality cannibal cannibalism child abuse claws cobweb coin toss corpse covered in blood crow cruelty crushed to death curse cut cut into pieces cut on face danger dark fantasy dark past dark power dead body death death by sunrise death of parents decapitation deeply disturbed person demon demon blood demon hunter demon in human form demoness demonic possession despair desperation dismemberment disturbed individual disturbing dripping blood drum dying dying words eating human flesh enemy evil evil power execution exploding body exploding head eyeball eyes different color face scar facial cut fainting falling to death fear female demon female puppeteer fiend fight fight to the death fighting flashback force forces of evil forehead scar forest good versus evil gore guilt head blown off head cut off heightened sense of smell hostility human versus demon immortality impalement indecision inhumanity insanity invulnerability katana sword killing a demon kimono kindness leg ripped off long tongue magic man eater martial artist martial arts martial arts master mask masked man massacre mercilessness mind reading monster mountain multiple arms murder murder of parents mutilation neck breaking night nihilism onigiri orphan pain pass out from blood loss passed out passing out from blood loss poison poisoned poisoned to death pool of blood possession poverty power psychic power psychopath punched in the face punched in the stomach quick draw regeneration running ruthlessness sadism sadist samurai scar scar on face scarface scarred face scratch scratched scratched neck screaming in pain sense of smell severed arm severed head snake snow snowing sociopath sparrow spider spitting blood steam locomotive suffering sunrise super speed superhuman strength supernatural murder supernatural power swooning sword fight sword fighting syringe taisho era talking animal talking crow talking severed head team of demon hunters tears hands tied hands tied behind back telekinesis telepath telepathy tied up tokyo japan torment torso cut in half torture tragic past training trap turned into a demon venom viciousness villain psychic violence violent death walking through a wall weird eyes wooden sword woods cliffhanger ending boulder child slavery dual wield dual wielding swords human monster demon slayer held at sword point early 20th century shounen,Negative,Sad
The Adventures of Sherlock Holmes,13,2,Crime,1984,1985,60,8.7,19508,56,5,satire political humor british humour government british government politics sitcom dark comedy british comedy 2000s,Positive,Sad
The Vietnam War,10,1,Documentary,2017,NA,41,9.1,19326,152,11,evil man hero criminal villain good man texas stabbed to death deputy lynching reference to george armstrong custer reference to the alamo alamo illegitimate son former lover nebraska bartender bar fight montana cattle texas ranger cattle drive long range rifle comanchero animal in title tv mini series on the road soap opera sex talk murder melodrama life and death hanging pulitzer prize source based on novel,Negative,Sad
Monster,75,1,Animation,2004,2010,24,8.6,19271,85,9,vietnam vietnam war american history vietnamese history tv mini series country name in title southeast asia archive footage colonialism guerilla war civil war cold war north vietnam south vietnam indochina french indochina ho chi minh lyndon johnson kennedy ho chi minh trail ho chi minh city vietnam reference to the ho chi minh trail,Negative,Neutral
Yeh Meri Family,7,1,Comedy,2018,NA,30,9.2,18746,355,3,detective based on short story private detective friendship chaste character asexual asexual interest brother brother relationship male protagonist violin character name as series title sherlock holmes character dr. john watson character four word series title victorian era,Neutral,Joy
Demon Slayer: Kimetsu No Yaiba,27,1,Animation,2019,NA,25,8.7,18287,165,6,anime evil man good versus evil boy hospital murder doctor hand library shooting fear of monsters book monster girl fainting crying sign frog picture book,Negative,Sad
I'm Alan Partridge,12,2,Comedy,1997,2002,29,8.5,18238,58,4,web series mother son relationship 90s nostalgia sibling rivalry older brother sister comics walkman older brother younger brother relationship friendship school days coming of age teenage teenage romance school romance voice over high school crush bittersweet summer father son relationship tvf the viral fever sibling song child breaking the fourth wall family relationships year 1998 1990s,Negative,Joy
Nathan for You,32,4,Documentary,2013,2017,30,8.8,18008,55,1,reenactment businessman,Neutral,Neutral
Endeavour,31,8,Crime,2012,NA,89,8.6,17808,123,15,situation comedy sitcom satire british comedy alan partridge character radio joke comedian british based on radio show fictional talk show talk show host radio presenter radio show personal assistant celebrity character name in title title spoken by character,Negative,Joy
Pose,19,3,Drama,2018,NA,60,8.6,17615,166,18,1960s police oxford england younger version of character character name as series title one word series title,Neutral,Neutral
Formula 1: Drive to Survive,20,2,Documentary,2019,NA,40,8.6,17184,160,7,drag queer lgbtq,Negative,Neutral
Through the Wormhole,63,8,Documentary,2010,2017,60,8.6,16614,23,8,tv series f1 formula 1,Neutral,Neutral
Ted Lasso,11,2,Comedy,2020,NA,30,8.7,16433,400,21,jail women in prison prison female prisoner female convict women's prison criminal,Negative,Sad
Feud: Bette and Joan,8,1,Biography,2017,NA,50.75,8.5,16325,86,24,science astrophysics universe astronomy outer space psychotronic series nature childhood memory analogy some scenes animated hubble space telescope observatory simulation law of gravity reference to isaac newton reference to edwin hubble science show voice over narration black and white scene television show clip natural science relativity reference to albert einstein lab experiment theoretical science theorist female scientist scientific research scientist composite sketch cgi archive footage personal stories animated sequence biology planet earth computer simulation evolution quantum physicist astrobiologist astrophysicist cosmic research cosmology quantum physics physicist physics gravity solar system cosmos,Neutral,Joy
"I, Claudius",13,1,Biography,1976,NA,51.46153846,8.7,15469,118,27,anime dystopia orphanage survival orphans demon evil eating a child freedom hope mama,Negative,Neutral
Queer Eye,42,5,Reality-TV,2018,NA,45,8.5,15067,114,15,anime death of mother pianist child prodigy childhood friends friendship soccer player softball player violinist musical composition metronome mentorship,Negative,Joy
Shigatsu wa kimi no uso,23,1,Animation,2014,2015,23,8.6,15040,121,7,roman emperor roman empire rise to power political intrigue ancient rome based on novel lust shot on video caligula character octavius caesar character 1st century caligula italy character name as series title claudius emperor conspiracy snake tv mini series prostitute manipulation loss of family brothel assassination face slap rivalry power struggle political corruption handicapped family rivalry family history family feud epic dysfunctional family black sheep assassination plot adultery abuse of power family betrayal masterpiece theatre prophecy nudity stuttering murder historian poison insanity,Negative,Sad
Horace and Pete,10,1,Comedy,2016,NA,67,8.5,14657,65,13,tv mini series web series bar character name in title,Neutral,Neutral
Sarabhai V/S Sarabhai,79,2,Comedy,2004,2017,30,8.9,14514,46,1,catchphrase cult favorite showoff strange behavior mockery gujarati family middle class society high society bad poetry poetry poetry recitation homage prejudice repetition in series title asian ndian stereotype mumbai india palindrome symbolism weirdo superficiality subliminal message status symbol sophistication sophisticated woman sophisticated comedy social status social satire sitcom satirical song satire sarcasm pun poetry reading narrow mindedness mother son relationship mother in law daughter in law relationship misunderstanding materialism mama's boy jealousy immaturity husband wife relationship hurt feelings gujarat father son relationship extravagance dysfunctional family dirty remark competitiveness childish behavior bullying brother brother relationship artificiality struggling actor spoof prank prankster poet parody nerd mischief irritation intolerance freak dream sequence deafness cosmetologist,Negative,Sad
Alfred Hitchcock Presents,268,7,Comedy,1955,1962,25,8.5,14512,37,20,death black comedy director name in series title famous opening theme meta humor comedic bit director as tv host opening and closing segment psychotronic series cult favorite presenter name in title 1930s to 2020s cult classic cult tv anthology series horror host male horror host usa male horror host usa horror host 1950s 1960s alfred hitchcock murder anthology hosted television series,Positive,Sad
The Promised Neverland,13,2,Animation,2019,NA,30,8.7,14372,111,7,team non fiction,Negative,Neutral
Pew News,50,2,Comedy,2018,2020,15,9,14224,789,NA,batman character bruce wayne character nightwing character robin character tim drake character dick grayson character batgirl character barbara gordon character alfred pennyworth character gotham city commissioner gordon character james gordon character legacy character curvacious woman psychotronic series 1990s new jersey dc animated universe character name in series title vigilante poetic justice vigilante justice vigilantism martial arts gangster fictional city urban decay urban setting crime fighting masked vigilante masked hero masked superhero flying cape jujitsu warrior tough guy gadget gadget car action hero super villain violence cartoon violence cult tv surrealism butler henchman haunted by the past femme fatale double life invention dark hero based on comic book villain inventor hero crime fighter car dc comics mask superhero based on comic,Positive,Neutral
The New Batman Adventures,24,2,Animation,1997,1999,30,8.5,13911,34,6,africa nature documentary nature tv mini series,Neutral,Neutral
Africa,7,1,Documentary,2013,NA,51.42857143,9,13757,10,6,psychotronic series anime middle school fitness club slice of life conman psychic psychic powers spoon bending ghosts based on manga terrorist organization upper echelon nickname emotional intelligence parody satire shounen,Neutral,Neutral
The Civil War,9,1,Documentary,1990,NA,75.55555556,9,13263,84,14,ulysses s. grant character abraham lincoln character robert e. lee character american civil war tv mini series voice over letter american history reference to abraham lincoln reenactment sequel slavery battle hymn of the republic african american 1860s abolition,Neutral,Joy
Mob Psycho 100,25,2,Animation,2016,NA,24,8.5,13027,50,7,city suicide family relationships psychiatrist husband wife relationship netflix production rape muslim muslim woman repressed emotions repressed desires dysfunctional family haunting past cerebral palsy intertwined lives sister sister conflict brother sister conflict sister sister relationship brother sister relationship betrayal father daughter relationship mentally unstable woman doctor patient chaos spiritual awakening actress confrontation,Negative,Sad
Chef's Table,30,6,Documentary,2015,NA,50,8.6,12976,34,11,mythology indian mythology ram sita kidnapping battle incarnation exile agasthya ahalya akampan akampana akshayakumar anasuya anjana atikay bali bharadwaja bharata bhimasura brahma chitrakoot dasaharatha devantak dhandakaranya dhurvasa dhushana dvivida gandhamadana ganesha gautama indrajeet jambovan jambumaali janaka jatayu kaikasi kaikeyi kalanemi karkati kausalya kesari kethu khara kishkinta kosala kumbh kumbhakarna kunjkasthala kushadwaj lakshman lanka lankini macchanu mahiravan mainda makaradwaja makaraksh malyavaan mandodari mandovi mangal manthra maricha mathali mithila nala nandi narantak neela nikumbh parashuram prahast ruma devi vishwamitra sampathi saraswathi shabari shani sharabha shatrugana shoorpanaka shravankumar shruthakeerthi simhika subahu sugriva sukhetu sukra sulochana sumantra sumitra sushena tara devi trijatha trishara urmila vaali vajrajmala valmiki vashishta vibhishana virochana vishravas maryada purushotham angada worshipping demon king devotional epic,Negative,Sad
Rurouni Kenshin: Trust and Betrayal,4,1,Animation,1999,NA,29.5,8.6,12920,51,15,netflix original food chef,Neutral,Joy
Ramayan,78,1,Adventure,1987,1988,30,9.1,12343,177,1,assassin flashback patriot sacrifice grief revolution ova sword tv mini series main character dies cartoon violence kung fu kendo samurai sword surrealism fictional war controversy samurai warrior tragic hero social commentary responsibility idealism hope hero heroism dark hero moral ambiguity loyalty honor friendship weeping warrior tear torso cut in half sword ripped out of face sword fight stabbed through the chin gore cut to pieces katana sword redemption blood kindness samurai emotionally vulnerable scar swarm tactic compassion cremation anti war siege christ allegory fable samurai era tragic love treason neo noir origin of hero ambush slavery prostitution violence anime prequel gothic martial arts tragedy swarm house cremation surprise ending femme fatale,Negative,Neutral
The Eric Andre Show,53,5,Comedy,2012,NA,11,8.6,12317,53,2,bizarre comedy sketch comedy absurd comedy absurd humor surrealist comedy parody late night low budget tv series tv interview stream of consciousness running gag public access practical joke celebrity impersonation celebrity guest candid camera breaking furniture performer name in title talk show spoof reenactment adult swim,Negative,Joy
Letterkenny,54,8,Comedy,2016,NA,30,8.7,12316,149,2,schmelt hockey choring jock hick skid fistfight smoking drinking ice fishing degens natives dive bar farm drug use,Negative,Sad
Yes Minister,22,3,Comedy,1980,1984,60,8.6,12290,38,3,minister british government british politics civil servant bureaucrat bureaucracy social satire british politician british civil service parliament british humour 1980s united kingdom political party british comedy secretary dialogue driven career politics politician family relationships trick strategy state employee satire parody office sitcom house of commons member of parliament title spoken by character,Neutral,Neutral
Mahabharat,94,1,Adventure,1988,1990,45,8.9,11885,108,5,dice game throne good vs evil exile epic krishna the hindu deity mythology knowledge selfless act brother vs brother archery arjun bheeshma duryodhana bheema yudhishtra dronacharya karna draupadi nakula sahadeva dushasana shakuni kunti gandhari vidura dhiristrastra ashwathama yuyutsu abhimanyu ghatothkacha uttara indian mythology krishna dushala iravan chitrangadha dussalan jalagandha sama saha vindha anuvindha durmuka chitrasena durdarsha durmarsha dussaha durmada vikarna dushkarna durdhara vivinsati durmarshana durvishaha durvimochana dushpradharsha durjaya jaitra bhurivala ravi jayatsena sujata srutavan srutanta jayat chitra upachitra charuchitra chitraksha sarasana chitrayudha chitravarman suvarma sudarsana dhanurgraha vivitsu subaahu nanda upananda kratha vatavega nishagin kavashin paasi vikata soma suvarchasas dhanurdhara ayobaahu mahabaahu chithraamga chithrakundala bheemaratha bheemavega bheemabela ugraayudha kundhaadhara vrindaaraka dridhavarma dridhakshathra dridhasandha jaraasandha sathyasandha sadaasuvaak ugrasravas ugrasena senaany aparaajitha kundhasaai dridhahastha suhastha suvarcha aadithyakethu ugrasaai kavachy kradhana kundhy bheemavikra alolupa abhaya dhridhakarmaavu dhridharathaasraya anaadhrushya kundhabhedy viraavy pradhama amapramaadhy deerkharoma suveeryavaan dheerkhabaahu kaanchanadhwaja kundhaasy virajas agni varuna chanura pandu ganga satyavati shantanu kripacharya drupada subhadra dhrishtadyumna balram mushtika madri shikhandi bakasura shalya ved vyas rukmini radha kans devaki bharat vichitravirya amba yashoda nand ambika ambalika sanjay jarasandh jayadratha virata uttar shalv kumar shishupala eklavya vasudev hanuman kichak indra shiva brahma vishnu vayu balarama satyaki kritavarma jambovati satyajit satyabama kuchela bootana uttamaujas yudhamanyu kumar vrika panchalya suratha shatrunjaya janamejaya kokila babruvahana prativindhya sutasoma srutakarma srutasena shatanika uloopi aryaka pareekshit kanka ballava brihanala tantripala granthika sairandhari satrajit kripi sudheshana jambovan urvashi ramba menaka tilothama ghritachi kirmira narakasura susharma bagheerata sukethu dhaumya bharadwaja dhurvasa mooka somadutt bhoorishravas vrishasena lakshmana kumar hidimba hidimbaa barbareek parikshit kurukshetra phalguna partha kreeti swethavahana savyasachi bibatsu jisnu vijaya pradyumna rukmi parashara adhiratha radheya jara akroora god emperor behead,Negative,Neutral
Long Way Round,10,1,Documentary,2004,2010,31.5,8.6,11790,52,6,travel motorcycle journey new york siberia mongolia kazakhstan kiev tv mini series calgary alberta canada homesickness horse whale tree cutting south dakota river crossing mount rushmore montana minnesota illinois horse ranch funfair forest fire family reunion camel bison bear wilderness wild horse train ride motocycle accident hospitality cultural diversity car accident camping boat ride slovakia germany czech republic border crossing belgium france ukraine scenery russia london england title spoken by character,Negative,Sad
Content Cop,13,3,Documentary,2015,NA,20,9,11789,60,NA,police,Neutral,Neutral
Homicide: Life on the Street,122,7,Crime,1993,1999,60,8.5,11374,94,25,investigation,Neutral,Neutral
The Defiant Ones,4,1,Documentary,2017,NA,60,8.5,11185,26,6,social commentary justice violence police station based on real person police police protagonist 1990s police detective baltimore maryland murder based on book,Negative,Sad
Delhi Crime,7,1,Crime,2019,NA,50,8.5,10815,184,7,tv mini series brother brother relationship record company music tour rags to riches compton california lowrider los angeles california gangsta hip hop music concert gangsta rap rap music hip hop,Positive,Joy
From the Earth to the Moon,12,1,Action,1998,NA,60,8.6,10792,67,5,anime viking,Neutral,Neutral
Detectorists,19,3,Comedy,2014,2017,30,8.6,10375,119,11,neil armstrong character space program the moon apollo 8 apollo 7 apollo 1 apollo 13 astronaut apollo 11 planet name in title six word title georges melies tv mini series apollo program apollo 12 first man into space mercury capsule space race outer space 1970s 1960s handball 1950s disaster moon landing nasa saturn v rocket gemini capsule spacecraft based on book,Neutral,Neutral
The Return of Sherlock Holmes,11,2,Crime,1986,1988,60,8.7,10312,18,4,british comedy conversation friendship archaeologist metal detectorist sitcom eccentric fortune metal detector british humour ex wife field search written by co star 2010s gold baby english countryside partner teacher pub hippy directed by star artefact shop club,Positive,Joy
Vinland Saga,24,1,Animation,2019,NA,24,8.8,10228,110,12,character name in series title five word series title sherlock holmes character dr. john watson character detective based on short story private detective victorian era,Neutral,Neutral
Guardian: The Lonely and Great God,16,1,Comedy,2016,2017,60,8.6,10045,120,1,dc comics dc animated universe superhero superhero team based on comic book justice league cartoon network cult tv reboot based on comic alien shared universe batman character superman character green lantern character wonder woman character john stewart character martian manhunter character j'onn j'onzz character the flash character hawkgirl character lex luthor character wally west character amazon warrior clark kent character 2000s psychotronic series action girl,Neutral,Joy
